age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income,fairness_weight,merit_score,final_score
90,?,HS-grad,9,Widowed,?,Not-in-family,White,Female,40,United-States,<=50K,0.8525062819796573,0.519081632633864,0.44252035268062573
82,Private,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,18,United-States,<=50K,0.8525062819796573,0.40710232036219063,0.34705728551726245
66,?,Some-college,10,Widowed,?,Unmarried,Black,Female,40,United-States,<=50K,0.8525062819796573,0.5162049203035473,0.44006793734758237
54,Private,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K,0.8525062819796573,0.3197665641513888,0.27260300470611004
41,Private,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,0.8525062819796573,0.48195834496155054,0.41087251673224057
34,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,45,United-States,<=50K,0.8525062819796573,0.4653284875410267,0.3966954588128179
38,Private,10th,6,Separated,Adm-clerical,Unmarried,White,Male,40,United-States,<=50K,1.093519284984871,0.35784875592851106,0.391314515715671
74,State-gov,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,20,United-States,>50K,2.1999658551748333,0.6153270897080457,1.3536985871218021
68,Federal-gov,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0.8525062819796573,0.488944646332907,0.416828382539125
41,Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,60,?,>50K,0.7876373846816079,0.5737950796544911,0.45194245588223825
45,Private,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,35,United-States,>50K,2.1999658551748333,0.644478613331035,1.417830943718701
38,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,>50K,0.7876373846816079,0.650807939583746,0.5126006634637676
52,Private,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,20,United-States,>50K,2.1999658551748333,0.4951901034130887,1.08940131932929
32,Private,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,0.7876373846816079,0.6585071288501372,0.5186648327617167
51,?,Doctorate,16,Never-married,?,Not-in-family,White,Male,40,United-States,>50K,0.7876373846816079,0.6756569750863493,0.5321726927988985
46,Private,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,0.7876373846816079,0.6388076600199499,0.5031487946526911
45,Private,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,76,United-States,>50K,0.7876373846816079,0.5627439194695629,0.44323814897648395
57,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,>50K,0.7876373846816079,0.6697945205188987,0.5275552044155769
22,Private,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,?,>50K,0.7876373846816079,0.5159309476976331,0.40636650232086724
34,Private,Bachelors,13,Separated,Sales,Not-in-family,White,Male,50,United-States,>50K,0.7876373846816079,0.6082876712062618,0.47911011048296587
37,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,0.7876373846816079,0.5664788929008312,0.44617995368174335
29,Private,11th,7,Separated,Sales,Not-in-family,White,Female,42,United-States,<=50K,0.8525062819796573,0.38470366227268626,0.3279622887880455
61,Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,25,United-States,<=50K,0.8525062819796573,0.41047805421744255,0.3499351198351561
51,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,1.093519284984871,0.4956569750983493,0.5420104610073109
61,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,32,United-States,<=50K,1.093519284984871,0.4426209113599717,0.48401450250970823
21,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,1.093519284984871,0.48456108468595327,0.5298768908572771
33,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,Mexico,<=50K,1.093519284984871,0.19426474699093554,0.2124322472272947
49,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,40,Greece,<=50K,1.093519284984871,0.28291724908498955,0.3093754679293044
37,Self-emp-inc,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,50,United-States,>50K,0.7876373846816079,0.40239726026130135,0.31694312567525573
38,Private,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,90,United-States,>50K,0.7876373846816079,0.5874405926608621,0.4626901720592152
23,Private,Some-college,10,Separated,Other-service,Not-in-family,White,Male,40,United-States,>50K,0.7876373846816079,0.45730081071531303,0.3601872145645882
59,Self-emp-inc,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,50,United-States,>50K,2.1999658551748333,0.43253424656225836,0.951560573630741
52,Private,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,>50K,0.7876373846816079,0.7388635727949695,0.5819565721127387
51,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,>50K,0.7876373846816079,0.6315753424388195,0.49745235094790274
60,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,50,United-States,>50K,0.7876373846816079,0.5239041095699383,0.4126464626856127
63,Federal-gov,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,60,United-States,>50K,2.1999658551748333,0.7839320659434481,1.7246237778522517
53,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,48,United-States,>50K,0.7876373846816079,0.5051313950048851,0.39786037088222
51,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,2.1999658551748333,0.6915753424348194,1.5214421396374458
37,Self-emp-not-inc,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,60,United-States,>50K,2.1999658551748333,0.7483156275877716,1.646268829586824
54,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,2.1999658551748333,0.6197665641313889,1.363465279268079
44,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,50,United-States,>50K,0.7876373846816079,0.6219863013430604,0.4898996636976346
43,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,>50K,2.1999658551748333,0.6046980709809103,1.3303151088480905
51,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,>50K,2.1999658551748333,0.4956569750983493,1.090428421095611
43,Private,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,>50K,2.1999658551748333,0.6046980709809103,1.3303151088480905
71,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,15,United-States,<=50K,1.093519284984871,0.378258317007771,0.41363276435391844
48,Private,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,70,United-States,>50K,2.1999658551748333,0.7193024880907204,1.582440913341887
71,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,52,United-States,<=50K,1.093519284984871,0.5481562761897109,0.599419459198942
73,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Vietnam,<=50K,1.093519284984871,0.49579396140130627,0.5421602581713731
68,?,Some-college,10,Married-civ-spouse,?,Wife,White,Female,40,United-States,<=50K,0.8525062819796573,0.518944646330907,0.4424035709968097
67,?,Some-college,10,Married-civ-spouse,?,Husband,White,Male,40,United-States,<=50K,1.093519284984871,0.5175747833172271,0.5659780069792536
40,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,>50K,0.7876373846816079,0.6535476656111059,0.5147585741067014
50,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,72,United-States,>50K,2.1999658551748333,0.6112258875953742,1.344676082508754
51,State-gov,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,39,United-States,>50K,0.7876373846816079,0.5210651383617022,0.4104103828279713
42,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,>50K,2.1999658551748333,0.48332820797523046,1.0633055543883476
39,Private,Masters,14,Never-married,Sales,Not-in-family,White,Male,45,United-States,>50K,0.7876373846816079,0.622177802599426,0.4900504972463616
32,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,50,United-States,>50K,0.7876373846816079,0.6055479451789021,0.4769521998400321
53,Private,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,45,United-States,>50K,0.7876373846816079,0.5213558847989441,0.410639385591406
40,Local-gov,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,40,United-States,>50K,0.7876373846816079,0.48058848194787074,0.37852945502952506
38,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,45,United-States,>50K,2.1999658551748333,0.5908079395877461,1.2997572940592372
33,Private,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,42,United-States,>50K,0.7876373846816079,0.5101831143194058,0.40183929387125455
43,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,70,United-States,>50K,0.7876373846816079,0.682453173024321,0.537525632368541
50,Self-emp-inc,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,40,United-States,>50K,0.7876373846816079,0.4042871120906694,0.3184316436275749
44,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,6,United-States,>50K,2.1999658551748333,0.3299454850245914,0.7258688011232004
51,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,China,>50K,0.7876373846816079,0.5856569750923493,0.4612853281822796
41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0.7876373846816079,0.6319583449515506,0.49775401804535674
60,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,70,?,>50K,0.7876373846816079,0.6757408442588786,0.5322387512946049
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,0.7876373846816079,0.6883156275917717,0.5421431207518627
55,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,Greece,>50K,0.7876373846816079,0.6281772434698336,0.4947758811630814
39,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K,0.7876373846816079,0.6610553536211313,0.5206719098559234
42,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,0.7876373846816079,0.7251649426581709,0.5711670188980699
49,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K,0.7876373846816079,0.6517948000846949,0.5133779516877806
47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.7876373846816079,0.5060958903921,0.39862004350654334
41,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,0.7876373846816079,0.6549175286247857,0.5158375294281683
55,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.7876373846816079,0.637054794493539,0.5017681722337702
39,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,65,United-States,>50K,2.1999658551748333,0.7140145372923665,1.5708076021416641
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,0.7876373846816079,0.6651649426621709,0.5239087758203239
41,?,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,12,United-States,>50K,0.7876373846816079,0.38338691638943395,0.30196986814612004
46,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,65,United-States,>50K,0.7876373846816079,0.7236035783881256,0.5699372300278761
40,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,0.7876373846816079,0.6235476656131058,0.4911294525678285
32,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,United-States,>50K,0.7876373846816079,0.596364271709608,0.4697187952869075
41,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,0.7876373846816079,0.5508358959812559,0.43385894449942664
60,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,United-States,>50K,0.7876373846816079,0.8416592115973489,0.66292226021572
31,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,Taiwan,>50K,0.7876373846816079,0.7260148168561626,0.5718364115886845
58,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,>50K,0.7876373846816079,0.5052460161941082,0.39795065081592873
37,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,0.7876373846816079,0.6123972602473013,0.48234697644736646
44,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.7876373846816079,0.6219863013430604,0.4898996636976346
39,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,?,>50K,0.7876373846816079,0.6751369862706611,0.5317631301680461
43,Federal-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,?,>50K,0.7876373846816079,0.7035756219986157,0.5541624628367252
55,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.7876373846816079,0.637054794493539,0.5017681722337702
44,Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K,0.7876373846816079,0.6749454850142955,0.5316122966193191
